goos: darwin
goarch: arm64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_30-Gas=500-12               	  354304	      3381 ns/op	       500.0 gas/op	       147.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_31-Gas=500-12               	  353906	      3436 ns/op	       500.0 gas/op	       145.5 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_32-Gas=500-12               	  349548	      3401 ns/op	       500.0 gas/op	       147.0 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_33-Gas=500-12               	  342846	      3476 ns/op	       500.0 gas/op	       143.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_34-Gas=500-12               	  353367	      3382 ns/op	       500.0 gas/op	       147.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_35-Gas=500-12               	  350965	      3400 ns/op	       500.0 gas/op	       147.1 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_36-Gas=500-12               	  350493	      3384 ns/op	       500.0 gas/op	       147.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_37-Gas=500-12               	  347529	      3403 ns/op	       500.0 gas/op	       146.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_38-Gas=500-12               	  356409	      3370 ns/op	       500.0 gas/op	       148.4 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_39-Gas=500-12               	  351374	      3391 ns/op	       500.0 gas/op	       147.5 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_40-Gas=500-12               	  352867	      3390 ns/op	       500.0 gas/op	       147.5 mgas/s	     320 B/op	       3 allocs/op
